encounter,level,win_rate,avg_rounds,avg_deaths,avg_hp_pct_on_win,timeouts,n
t5_brute,2,0.650,7.73,3.40,0.576,0,80
t5_brute,3,0.713,7.65,2.99,0.560,0,80
t5_brute,4,0.863,6.84,2.16,0.617,0,80
t5_brute,5,0.938,6.65,1.66,0.642,0,80
t5_brute,6,0.963,6.03,1.36,0.660,0,80
t5_brute,7,0.975,5.95,1.35,0.660,0,80
t5_brute,8,0.988,5.59,1.20,0.689,0,80
t5_brute,9,0.975,5.45,1.01,0.706,0,80
t5_brute,10,1.000,4.92,1.14,0.680,0,80
t5_skirmisher,1,0.000,0.00,6.00,0.000,0,80
t5_skirmisher,2,0.000,0.00,6.00,0.000,0,80
t5_skirmisher,3,0.000,0.00,6.00,0.000,0,80
t5_skirmisher,4,0.013,8.00,5.95,0.510,0,80
t5_skirmisher,5,0.000,0.00,6.00,0.000,0,80
t5_skirmisher,6,0.050,9.50,5.90,0.236,0,80
t5_skirmisher,7,0.062,8.20,5.78,0.324,0,80
t5_skirmisher,8,0.225,8.06,5.20,0.300,0,80
t5_skirmisher,9,0.225,7.67,5.12,0.363,0,80
t5_skirmisher,10,0.525,6.93,3.83,0.399,0,80
t5_swarm,1,0.025,5.50,5.92,0.425,0,80
t5_swarm,2,0.013,9.00,5.97,0.342,0,80
t5_swarm,3,0.087,6.00,5.65,0.516,0,80
t5_swarm,4,0.125,5.50,5.71,0.245,0,80
t5_swarm,5,0.225,5.44,5.08,0.463,0,80
t5_swarm,6,0.300,5.71,4.79,0.435,0,80
t5_swarm,7,0.425,6.18,4.61,0.349,0,80
t5_swarm,8,0.625,5.42,3.27,0.461,0,80
t5_swarm,9,0.713,5.46,2.94,0.454,0,80
t5_swarm,10,0.850,5.15,2.20,0.450,0,80
t5_ailment,1,0.225,5.33,5.30,0.450,0,80
t5_ailment,2,0.375,4.73,4.78,0.491,0,80
t5_ailment,3,0.637,5.43,3.75,0.463,0,80
t5_ailment,4,0.787,4.79,2.95,0.527,0,80
t5_ailment,5,0.838,4.58,2.36,0.591,0,80
t5_ailment,6,0.875,4.53,2.25,0.583,0,80
t5_ailment,7,0.963,4.10,1.40,0.627,0,80
t5_ailment,8,0.938,4.04,1.15,0.685,0,80
t5_ailment,9,0.975,3.90,0.90,0.711,0,80
t5_ailment,10,1.000,3.41,0.68,0.716,0,80
t6_brute,1,0.000,0.00,6.00,0.000,0,80
t6_brute,2,0.013,14.00,5.95,0.481,0,80
